par_id,rmse,nse,r,bias,mae,nmae
p0010,3.67922934535685,0.542996513754977,0.939035153846962,-3.09022737124803,3.09600683412322,0.221213329621115
p0011,3.3384482079061,0.623733911913889,0.93631587391834,-0.189332207898894,2.88189903254344,0.233691562419631
p0012,3.13286352559585,0.66864864945656,0.931408144657308,0.747575639810427,2.52281298578199,0.196129245080991
p0013,6.63182290612928,-0.484812561467637,0.860587276924839,4.56035968404423,5.21428543443918,0.368437731451694
p0014,7.12702247853296,-0.714833856065842,0.852510317304215,5.19813921011058,5.63771203791469,0.398108767369449
p0015,6.6637719090555,-0.499153278704704,0.854518275858101,4.12579579778831,5.31253545023697,0.3788242635087
p0016,7.26236623353452,-0.780582433134899,0.844481713472983,5.04066328593997,5.70047845181675,0.404529851880916
p0017,6.15400547189055,-0.278561280411821,0.87467040548734,4.93098739336493,4.97452685624013,0.361835095313805
p0018,3.0643024415843,0.682992858141073,0.943730399958176,-0.201697788309637,2.6549859399684,0.21708458939147
p0019,2.16407347946313,0.841893473444412,0.964380620251891,-0.95192682464455,1.88894862559242,0.167598149741951
p0020,3.30861573162117,0.630428516836654,0.937089662427621,0.0686109952606635,2.82705409162717,0.222920217181477
p0021,2.14231201840331,0.845057256872153,0.947116866290318,0.104967298578199,1.7064971563981,0.141391918681798
p0022,5.53316400787423,-0.0336008996519961,0.883210896374336,3.34556353870458,4.24805617693523,0.298893244584174
p0023,2.72676030056537,0.748984975529056,0.950338291506236,-0.47350477093207,2.32524379146919,0.199671947982243
p0024,5.22993695276562,0.0765812279648601,0.890118855017503,2.6344859399684,4.20270843601896,0.299831821500066
p0025,1.96331505885393,0.869867495714869,0.972520748812147,-1.3520462685624,1.71606838546603,0.146768078072551
p0026,7.26298546902426,-0.7808860936243,0.845191109959146,4.99859712480253,5.7435039178515,0.408609903576213
p0027,2.63800121528872,0.765060643612382,0.937422443887862,0.547795260663507,2.04186698262243,0.164791352567589
p0028,3.22173780701112,0.649582183431042,0.938103617094033,0.269664265402844,2.73345642969984,0.212972224171556
p0029,3.07399866278318,0.680983503960533,0.961380061179308,-1.69730355134281,2.61544699526066,0.234735275034271
p0030,3.14229859762273,0.666649818979944,0.94719622328313,-0.721090300157978,2.71280467614534,0.226590230028751
p0031,7.09656213253686,-0.700207043883164,0.862597223475,5.9319214849921,5.93682575039494,0.432794428691439
p0032,2.23571063628222,0.831252643550328,0.973849892335552,-1.86116132701422,1.87337396524487,0.147386717694376
p0033,7.28051212639208,-0.789491546925767,0.844001051082664,5.1016540600316,5.78670777251185,0.412436134836147
p0034,6.83647870582801,-0.577868197563104,0.860070098965705,5.88187819905213,5.9008267614534,0.446946970138555
p0035,6.02704781500132,-0.226351780456253,0.874665416667043,3.99260859399684,4.60657086887836,0.320540675940906
p0036,4.71830650696138,0.248415021287641,0.905981857419667,3.16378565560821,3.53379924170616,0.245978718535147
p0037,7.01982287038213,-0.663635195904069,0.855046325151252,5.30911778830964,5.53304448657188,0.390217103570003
p0038,2.82031837327281,0.731464278314873,0.979059976376378,-2.58372348183254,2.58414243917852,0.209128982321194
p0039,5.11438644787887,0.116934590508166,0.90116692881427,3.91603747235387,3.99721434439178,0.283441886567343
p0040,2.97033507702136,0.702136917284676,0.967607509540104,-2.01099406319115,2.54332297314376,0.231052337363013
p0041,3.1194004477005,0.671490409846405,0.93855662677114,1.37356805687204,2.30664331753555,0.169088918386859
p0042,4.18265646548651,0.409377232448282,0.912455582548125,2.10040515007899,3.20857241706161,0.230212468787806
p0043,3.97158950710708,0.467481743586671,0.913232233972768,2.26127342812006,2.90295500789889,0.208059535614452
p0044,3.32946258379813,0.625756669413085,0.976337873298454,-2.95156343127962,2.97352456872038,0.256641808022481
p0045,2.66004241329108,0.761118281445764,0.937425112243288,0.590189921011058,2.09738353870458,0.169386428658407
p0046,3.14821579790191,0.665393186670504,0.974535212738654,-2.59077871090047,2.70753163349131,0.242029624356571
p0047,4.16097043157541,0.415485819962174,0.914386147484229,1.44793181674566,3.43055570300158,0.251861095410085
p0048,3.40270257642168,0.609110709440498,0.939451885893231,-0.257244233807267,2.96054628751975,0.237514943777613
p0049,7.35033100587418,-0.823977959588222,0.849261227084522,5.81377927330174,5.89512714060032,0.419912042972052
p0050,4.56176058902707,0.297460463635132,0.903233904177902,3.14630508688784,3.39875342812006,0.240349847557052
p0051,3.26708250809111,0.639648779784913,0.938995245089508,0.234598704581359,2.80855864139021,0.221210300115648
p0052,6.81474217156609,-0.567850507618953,0.868075266358225,5.74646022116904,5.75386793048973,0.423544690747141
p0053,2.72610007642607,0.749106516182998,0.963899445680574,-1.35122955766193,2.36369685624013,0.211824580533857
p0054,7.41917669554292,-0.858305964731926,0.838018527399113,4.93542360189573,5.93079295418641,0.423345336587632
p0055,4.05089678033661,0.44600206425047,0.915423363656492,1.42684480252765,3.33957826224329,0.246597834347637
p0056,4.52548113484328,0.308590552126716,0.907349439321382,3.02246685624013,3.33720682464455,0.232684781976696
p0057,7.5359217936377,-0.917249166660927,0.838451672171276,5.24534056872038,5.9375459399684,0.421000924578123
p0058,2.63651400243356,0.765325470131692,0.97617853899884,-2.35706099842022,2.35706099842022,0.188597641473574
p0059,6.52209956498759,-0.436086636335041,0.871942179325015,5.35359295418641,5.38537563981043,0.392207886210404
p0060,3.86829683694342,0.494820897066456,0.957089521529971,-3.47524698262243,3.47524698262243,0.256481112032569
p0061,2.86233481653076,0.723403513869734,0.942005791653995,0.0265206003159558,2.39250499210111,0.197616066897902
p0062,3.18021210085571,0.658557196512729,0.940591066425111,-0.281493712480253,2.73735469194313,0.223590921834495
p0063,6.22759946472851,-0.309324026510736,0.865685751271629,3.72938180094787,4.97483393364929,0.35526649940109
p0064,4.63239698078672,0.275535128465234,0.904558542010632,1.68901560821485,3.86507481832543,0.284253590597084
p0065,6.08897092838033,-0.251680807772623,0.948312095434293,-5.83594087519747,5.83594087519747,0.45206829264886
p0066,1.59984685183757,0.913590276751101,0.95782557344005,-0.0446260789889416,1.14956731121643,0.0899501911468335
p0067,3.19022965647749,0.656402743116834,0.979351615058791,-2.99261724486572,2.99261724486572,0.235818071285083
p0068,3.09135788940013,0.677370284318936,0.958130000933771,-1.37411968404423,2.64675759873618,0.229527901249342
p0069,6.3183051228749,-0.347742681048208,0.861841967418817,3.82187308056872,5.03419598736177,0.359021475963699
