par_id,rmse,nse,r,bias,mae,nmae
p0001,3.29160643688007,0.634218616702039,0.834794331425112,-1.21645540032416,2.57126636210289,0.188462554104479
p0002,5.20380366317975,0.085786569557268,0.47526016560341,1.16998537144046,4.71996616427161,0.390131427086409
p0003,4.06681805692177,0.44163874017606,0.709461223608903,1.26394904932751,3.71721008009329,0.31540580263086
p0004,3.50706300665994,0.584765979178259,0.860097591213448,-1.91633130791824,2.61031025914082,0.182022323584502
p0005,4.52915426467513,0.307467724631549,0.63869011301489,1.4907081748231,4.06996254384252,0.341498520768244
p0006,5.1920421435199,0.089914468535521,0.577302272441608,2.3406097782434,4.59968161062309,0.400155317130927
p0007,4.31817802105965,0.370483848530443,0.682564652686904,1.51331094346373,3.82604609512552,0.323126591472208
p0008,5.90653497767594,-0.177799464117057,0.479253712243398,2.96375499691494,5.18053274263239,0.454432334426509
p0009,6.01658557158554,-0.222097872004834,0.439808532402895,2.85497750016121,5.30957381458259,0.464595395870588
p0010,6.04552210519605,-0.233881404334067,0.392879010430408,2.59388590558631,5.39402702873067,0.467182707963448
p0011,6.34637470583021,-0.359744193146648,0.389773375540306,3.15089135258489,5.5941315035449,0.492479857885348
p0012,6.05158353014479,-0.236356899014092,0.391481545172639,2.59963093693807,5.3975467905034,0.467450308590424
p0013,5.29207460560781,0.0545083271876905,0.531306576436237,2.1631694157421,4.7359778222355,0.406569166397788
p0014,7.27304481338084,-0.785822618008253,0.414389479096563,-3.42877101431671,6.168690784117,0.472429427349757
p0015,6.04897074424076,-0.235289529288691,0.435420723493998,2.91651390555855,5.33944307817128,0.467155960865713
p0016,5.84361883089549,-0.15284136755892,0.977312990207446,-5.72533891590348,5.72533891590348,0.460715446626451
p0017,5.81130631169811,-0.140127253621404,0.498636867021507,2.92926810799309,5.08614923992663,0.445213977861102
p0018,4.78331391204954,0.227562129024184,0.967289184207594,-4.57727493139184,4.57727493139184,0.360873481845096
p0019,6.24841819030633,-0.318092740671543,0.439677455096113,2.07850284513556,5.27883415700373,0.447483687196892
p0020,6.03051378713162,-0.227762661335431,0.40204062393312,2.58710063942446,5.37809826577258,0.466303014264084
p0021,5.06475035971457,0.133992047727212,0.512414503002916,0.320085469436087,4.44138037172844,0.351882088732352
p0022,6.47316369486218,-0.414617321292506,0.406558607220913,3.4420103069666,5.64188826718256,0.501424735674249
