par_id,rmse,nse,r,bias,mae,nmae
p0001,1.87261126123115,0.881613807371161,0.964289791134669,-1.16744458135861,1.31586132701422,0.104521998559746
p0002,1.017874007456,-34.4163901576264,0.977471421558447,1.00437818181818,1.00437818181818,0.21145820187926
p0003,NA,NA,NA,NA,NA,NA
p0004,3.88328547085354,0.490898439922795,0.827045370774518,-2.38898882780411,2.72389909636651,0.190636426318881
p0005,2.88730838183122,0.718555908756758,0.93750775402956,-2.13875296366509,2.21170114691943,0.174083962104294
p0006,1.25172508626135,0.947103893725316,0.990501982737715,-0.123110236966825,1.06201292259084,0.0900512478341737
p0007,2.89173722622939,0.717691831973713,0.971166799972197,1.623143507109,2.26946249605055,0.151591678443213
p0008,4.64435424261746,0.271790286960705,0.913858220723233,4.00703503949447,4.1474502685624,0.334940043788097
p0009,2.32396947672805,-183.619293235184,-0.972485583641437,-2.31678363636364,2.31678363636364,0.489006614606454
p0010,0.187022676894347,-0.195651966272061,0.944380007060804,-0.162225454545454,0.162225454545454,0.0347339486924486
