31	2
0	119880.9164
-0.399999999999977	111302.1604
-0.699999999999989	103030.4489
-1	95068.47603
-1.30000000000001	85430.25429
-1.60000000000002	76424.14457
-1.89999999999998	68146.39437
-2.30000000000001	59666.85885
-2.60000000000002	51179.89109
-2.89999999999998	42851.13714
-3.19999999999999	36269.3312
-3.5	31155.95008
-3.80000000000001	28442.99667
-4.10000000000002	25790.70893
-4.39999999999998	22583.1399
-4.69999999999999	19631.05422
-5	16834.20941
-5.30000000000001	14484.22802
-5.60000000000002	12399.67051
-5.89999999999998	10811.30792
-6.19999999999999	9469.324081
-6.5	8228.697419
-6.80000000000001	6929.077352
-7.10000000000002	5637.911458
-7.39999999999998	4358.358439
-7.69999999999999	3239.620513
-8	2179.597283
-8.30000000000001	1201.23579
-8.69999999999999	494.615572
-9	61.408883
-9.30000000000001	0
